ki-si-wi-ja,ki-si-wi-je-ja
ka-ta-wa,ka-ta-wo
i-je-ro-jo,i-je-ro
pe-qo-no,pe-re-qo-no
ke-u-po-da,ke-u-po-da-o
e-ke-ra2-wo-ne,e-ke-ra2-wo-no
te-mi-dwe-te,te-mi-dwe-ta
da-*22-to-qe,da-*22-to
o-pe-ro-te,o-pe-ro-ta
a-pa-ta,a-pa-ta-wa
qa-ra2-t3 qa-ra2-ro
a-ke-re-mo,a-ke-re-mo-no
a-te-re-ta,a-te-re-te-a
ki-u-ro-i,ki-u-ro
i-ke-se-ra,i-ke-se
ka-na-ko,ka-ra-na-ko
tu-ri-si-jo-jo,tu-ri-si-jo
e-ke-ro-qo-no-qe,e-ke-ro-qo-no
pu-na-so,pu-na-so-qe
te-ko-to-na-pe,te-ko-to-a-pe
su-ke-re,su-ke-re-o
tu-ri-si-jo,tu-ri-si-ja
a-de-te-re,a-de-te
o-pi-su-ko,o-pi-su-ko-qe
ta-ni-ko,ta-ni-ko-qe
sa-ri-no-te,sa-ri-nu-wo-te
i-je-re-wo,i-je-re-wi-jo
sa-ma-ri-wa-ta,sa-ma-ri-wa
pa-de-we-u,pa-de-we
mi-ka-ta,mi-ka-to
a-pa-ta-wa-ja,a-pa-ta-wa-jo
me-tu-ro,me-tu-ra
ne-da-wa-ta-o,ne-da-wa-ta
wa-na-ta-jo,wa-na-ta-jo-jo
po-qe-wi-ja,po-qe-wi-ja-i
e-u-ko-me-no,e-ko-me-no
ko-no-so-de,ko-no-so
a-ke-re-we,a-ke-re-wa-de
a-ke-re-wa-de,a-ke-re-wa
e-ra-ne,e-ke-ra-ne
a-so-ta-o,a-ko-so-ta-o
wo-no-qe-we,wo-qe-we
a3-ki-a2-ri-jo,a3-ki-a2-ri-ja
a-ro-we,a-ta-ro-we
pe-di-je-wi-ja,pe-di-je-we
a3-ki-po,a3-ki-po-de
ka-ra-*56-so,ki-ra-*56-so
te-mi-de-we-te,te-mi-dwe-te
e-po-me-ne-we,e-po-me-ne-u
a-e-ri-qo-ta,a-e-ri-qo
ko-no-si-jo,ko-no-si-ja
ne-ti-ja-no-re,ne-ti-ja-no
a-pi-qo-ta,a-pi-qo-o
da-ja-ro,da-ta-ja-ro
re-u-ko-to,re-u-ko-to-ro
ka-ke-we,ka-ke-wi
me-ti-ja-no-ro,me-ti-ja-no
da-ko-ro-i,da-ko-ro
su-qo-ta,su-qo-ta-o
ke-ro-si-ja,ke-ro-si
o-pe-ra-no-re,o-pe-ra-no-ro
ma-ri-ne,ma-ri-ne-we
ku-do-ni-ja,ku-do-ni-ja-de
ke-ro-si-ja,ke-do-si-ja
pe-ra-a-ko-ra-i-jo,pe-ra-ko-ra-i-ja
pu-si-ja,pu-si-jo
pa-ra-we-wo,pa-ra-wo
o-pe-ro,o-pe-ro-sa
pe-re-qo-no-jo,pe-re-qo-no
da-wi-jo,da-wi-ja
te-qa-ja,te-qa-jo
ru-ko-ro,ru-ko-ro-jo
pe-ri-me-de,pe-ri-me-de-o
pa-ra-we,pa-ra-we-wo
me-wi-jo-e,me-wi-jo
to-ro-wi3 to-ro-wo
ti-nwa-si-ja,ti-nwa-si-jo
a-no-ke-we,a-no-ke-wa
we-re-ka-ra,we-re-ka-ra-ta
re-ke-e-to-ro-te-ri-jo,re-ke-to-ro-te-ri-jo
o-pe-ro-sa-de,o-pe-ro-sa
ti-qa-jo,ti-qa-jo-jo
e-u-po-ro-wo,e-u-po-ro-qe
du-ni-ja,du-ni-jo
ka-ra-do-ro,ka-ra-do-ro-de
mo-qo-so-jo,mo-qo-so
ku-mi-na,ku-mi-no
a-re-ki-si-to,a-re-ki-si-to-jo
qa-mi-jo,qa-mi-ja
po-ru-qo-ta,po-ru-qo-to
sa-ma-ra-de,sa-ma-ra
di-wi-je-ja,di-wi-je-we
e-u-me-de,e-u-me-de-i
no-ri-wo-ko,no-ri-wo-ko-jo
e-ke-se-si,e-ke-se
me-za-na,me-za-ne
pa-we-a,pa-we-a2
e-te-wa-jo,e-te-wa-jo-jo
di-wi-jo-jo,di-wi-jo
me-ta-no,me-ta-no-re
pa-wo-ke,pa-wo-ko
po-ni-ke-ja,po-ni-ke-qe
ka-ta-ra-i,ka-ta-ra
wi-jo-qo-ta,wi-jo-qo-ta-o
pa-ra-jo,pa-ra-ja
pe-re-ke3 pe-re-ko
ru-ki-ti-jo,ru-ki-ti-ja
o-u-te-mi+tbd,o-u-ki-te-mi+tbd
a-ko-so-ta,a-ko-so-ta-o
po-ro-ko-wa,po-ro-ko-wo
e-ru-ta-ra,e-ru-ta-ra-pi
o-ti-jo,o-ro-ti-jo
e-me-si-jo,e-me-si-jo-jo
o-pi-te-u-ke-we,o-pi-te-u-ke-e-we
pe-re-qo-no-jo,pe-re-qo-ni-jo
du-wo-u-pi,du-wo-u-pi-de
de-ki-si-wo-jo,de-ki-si-wo
to-ra-ka,to-ra-ke
o-pi-ke-re-mi-ni-ja,o-pi-ke-re-mi-ni-ja-pi
po-ro-wi-to-jo,po-ro-wi-to
a-we-ke-se-u,a-we-ke-se-we
ke-se-nu-wi-ja,ke-se-nu-wu-ja
a-re-ku-tu-ru-wo,a-re-ku-tu-ru-wo-no
pe-di-ro-i,pe-di-ro
di-pte-ra,di-pte-ra3
me-ri-du-ma-te,me-ri-da-ma-te
ti-mi-zo,ti-mi-za
to-so-pe-mo,to-pe-mo
pu-ta-ri-ja,pu-ka-ta-ri-ja
ra-wa-ra-ta,ra-wa-ra-ta2
pa-qo-si-jo,pa-qo-si-jo-jo
qe-ri-jo-jo,qe-ri-jo
to-sa-no,to-sa-no-jo
a-ra-si-jo,a-ta-ra-si-jo
ze-pu2-ra-o,ze-pu2-ra3
e-ko-si-qe,e-ko-si
a-pi-qo-to,a-pi-qo-ta-o
se-re-mo-ka-ra-o-re,se-re-mo-ka-ra-o-i-qe
a-na-pu-ke,a-pu-ke
o-ti-ra2-o,o-ti-ra2
ku-te-se-jo,ku-te-se-ja
o-*34-ta-qe,o-*34-ta-o
mo-ro-qo-ro,mo-ro-qo-ro-jo
mi-to-we-sa-e,mi-to-we-sa
pe-ki-ti-ra2,pe-ki-ti-ra2-o
to-so-pe-mo,to-so-pe-ma
we-a-re-pe,we-ja-re-pe
ko-ri-si-ja,ko-ri-si-jo
a-ku-di-ri-jo,a-di-ri-jo
ta-ra-ma-ta,ta-ra-ma-ta-o
ki-mu-ko,ki-mu-ku
ta-we-si-jo-jo,ta-we-si-jo
da-*83-ja,da-*83-ja-de
a-re-pa-te-ze,a-re-pa-te
o-du-ru-wi-jo,o-du-ru-wi-ja
pa-i-ti-ja,pa-i-ti-jo
o-ka-ra,o-ka-ra3
o-ro-qa,o-to-ro-qa
pe-di-ra,pe-di-ro
du-ni-jo-jo,du-ni-jo
e-u-ru-da-mo,e-u-da-mo
ta-na-wo,ta-na-wa
e-ta-wo-ne-we,e-ta-wo-ne-wo
me-za-wo-ni,me-za-wo
a-du-ru-po-to,a-du-po-to
ta-ti-qo-we-wo,ta-ti-qo-we-u
e-pi-ko-wo,e-pi-ko-wa
me-re-u,me-re-u-ro
*56-ko-we5 *56-ko-we-e
pe-ra3-ko-ra-i-ja,pe-ra-ko-ra-i-ja
do-e-ro,do-e-ro-i
a-wa-ra-ka-na-o,a-wa-ra-ka-na
e-me-de,e-ke-me-de
qe-ra-si-jo,qa-ra-si-jo
po-ro-u-te-we,po-ro-u-te-wo
wi-ra-ne-to,wi-ra-ne
a-ta-no-ro,a-ta-no-re
ma-ra-ne-ni-jo,ma-ra-ni-jo
ko-tu-we,ko-tu-wo
qe-re-wa,qe-re-wa-o
wo-ro-ti-ja,wo-ro-ti-ja-o
e-te-wa-o,e-te-wa
pa-pa-ra-ko,pa-pa-ra-ki
o-u-te-mi+tbd,o-u-te-mi
ke-ro-we,ke-ro-wo
po-ri-wa,po-ri-wo
i-ma-di-jo,i-ma-di-ja
me-u-jo-e,me-u-jo
pe-re-qo-te-jo,pe-ri-qo-te-jo
e-nu-wa-ri-jo,e-nwa-ri-jo
u-ta-jo,u-ta-jo-jo
i-ke-se-ro,i-ke-se-ra
a-ko-ro-we-e,a-ko-ro-we
ru-ki-ja,ru-ki-jo
a-ri-ja-wo-ne,a-ri-ja-wo
ke-ti-de-qe,ke-ki-de-qe
a3-ti-jo-qe2 a3-ti-jo-qo2 
ka-ra-se-ti-ri-jo,ka-ra-ti-ri-jo
me-ri-to,me-ri-ti-
re-u-si-wo,re-u-si-wo-qe
po-me-no,po-me-ne
e-ma-a2-o,e-ma-a2
do-ti-jo,do-ti-ja
wi-ja-te-we,wi-ja-te-wo
da-mi-ni-jo,da-mi-ni-ja
mo-ro-qa,mo-ro-qo-ro
a3-ki-e-wo,a3-ki-e-we
ki-to-na,ki-to-ne
za-ku-si-ja,za-ku-si-jo
pe-re-qo-te-jo,pe-re-qo-ta
to-ni-ja,to-ni-jo
e-qe-ta-i,e-qe-ta-qe
wo-ne-we,wo-ne-wa
a-me-no,a-ja-me-no
e-qe-si-jo,e-qe-si-ja
u-ru-pi-ja-jo,u-ru-pi-ja-jo-jo
a-ko-ra-ja,a-ko-ra-jo
wo-zo-me-na,wo-zo-me-no
a-ta-ma-ne-u,a-ta-ma-ne-we
me-ri-du-ma-te,me-ri-du-te
sa-pi-da,sa-pi-de
pa-ja-ni,pa-ja-ni-jo
